연도,구분,누적 설비용량(MW),월,발전량,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),월합계강수량(mm),평균 운량(1/10),일수,이용률
2024,울산,178,3,13105.6,울산,215.1,481.91,56.303763440860216,8.47231182795699,80.19999999999999,4.446236559139785,31,9.896097619910597
2021,서울,44,4,5397.13,서울,208.6,558.28,54.290277777777774,14.162916666666668,124.10000000000002,4.911111111111111,30,17.036395202020202
2021,울산,113,4,9333.92,울산,241.5,0.0,61.71527777777778,13.819583333333334,73.89999999999999,4.993055555555555,30,11.472369714847591
2022,서울,48,4,6387.37,서울,246.40000000000003,615.24,55.21944444444444,14.724166666666664,20.4,4.163888888888889,30,18.48197337962963
2022,울산,125,4,10623.48,울산,258.3,0.0,58.75972222222222,14.722777777777775,81.0,4.275382475660639,30,11.803866666666666
2023,서울,50,4,5151.06,서울,182.3,498.03,59.85694444444445,13.769166666666663,96.9,5.277777777777778,30,14.308500000000002
2023,울산,148,4,10618.0,울산,225.0,555.14,60.06805555555555,14.083611111111113,57.7,4.254166666666666,30,9.96433933933934
2024,서울,50,4,5670.49,서울,209.2,558.1600000000001,56.1875,16.301944444444445,33.2,4.852777777777778,30,15.751361111111112
2024,울산,178,4,12928.7,울산,186.8,499.01,69.45,14.900972222222224,99.1,5.708333333333333,30,10.087936953807741
2021,서울,44,5,5047.46,서울,203.7,570.5,68.18279569892474,17.037768817204302,183.1,5.631720430107527,31,15.418682795698924
2021,울산,113,5,8745.09,울산,219.0,0.0,68.21505376344086,17.70806451612903,120.4,5.956989247311828,31,10.401905509563232
2022,서울,48,5,7167.28,서울,302.3,764.61,55.63172043010753,19.09744623655914,7.5,3.938172043010753,31,20.06966845878136
2022,울산,125,5,12971.78,울산,318.2,0.0,54.348118279569896,19.181586021505375,6.1,4.020161290322581,31,13.94815053763441
2023,서울,50,5,6246.18,서울,235.6,648.1800000000001,62.4744623655914,19.50900537634409,155.60000000000002,5.283602150537634,31,16.790806451612905
2023,울산,148,5,10621.83,울산,200.0,565.3,69.21505376344086,17.758736559139784,195.2,6.05510752688172,31,9.64638731473409
2024,서울,50,5,6656.14,서울,262.0,686.88,63.21236559139785,18.467473118279568,125.1,4.17741935483871,31,17.892849462365593
2024,울산,178,5,17621.76,울산,273.1,711.71,63.928763440860216,17.87513440860215,69.3,4.243279569892473,31,13.306270387821673
2021,서울,44,6,4988.7,서울,185.5,563.35,72.65138888888889,22.781111111111112,104.6,5.888888888888889,30,15.74715909090909
2021,울산,113,6,8291.0,울산,212.7,0.0,80.28888888888889,21.62708333333333,93.8,6.483333333333333,30,10.190511307767945
2022,서울,48,6,4398.08,서울,131.9,440.59,73.12361111111112,23.30305555555556,393.8,7.020833333333333,30,12.725925925925926
2022,울산,125,6,9350.6,울산,225.7,0.0,77.35694444444445,22.405972222222225,147.1,5.873611111111111,30,10.389555555555557
