지역,연도,월,연월,util,sunshine_hr,solar_mj,hum,temp_c,rain_mm,cloud,pred_m1,resid_m1,pred_m2,resid_m2
울산,2022,9,2022-09,8.315466666666667,134.7,0.0,78.89583333333333,21.65458333333333,284.79999999999995,6.880555555555556,7.654775291794633,0.6606913748720347,8.134168794989291,0.18129787167737632
서울,2023,9,2023-09,12.642583333333333,157.10000000000002,425.79,73.6625,23.63583333333333,134.5,6.220833333333333,12.8227899904726,-0.18020665713926753,12.469884156170853,0.17269917716247996
울산,2023,9,2023-09,7.868337087087086,142.89999999999998,397.49,80.39166666666667,22.90958333333333,277.6,6.4375,7.688130429950231,0.18020665713685524,8.04103626424687,-0.17269917715978345
서울,2024,9,2024-09,13.255638888888887,166.89999999999998,439.21,71.78611111111111,25.473333333333336,143.9,5.398611111111111,13.787873139397348,-0.532234250508461,13.56270019636616,-0.307061307477273
울산,2024,9,2024-09,9.58876404494382,167.7,453.19,79.90972222222223,24.63625,237.0,5.763888888888889,9.05652979443812,0.5322342505057005,9.28170273746259,0.3070613074812307
서울,2021,10,2021-10,12.205461876832844,168.4,353.63,69.73521505376344,15.579301075268818,57.0,4.801075268817204,12.011051048324047,0.1944108285087971,11.999942960010038,0.20551891682280576
울산,2021,10,2021-10,8.56715672280902,214.9,0.0,74.96236559139786,17.063709677419354,48.99999999999999,4.193548387096774,8.76156755132008,-0.19441082851106017,8.772675639628787,-0.20551891681976642
서울,2022,10,2022-10,13.197244623655912,216.0,420.22,68.76612903225806,14.546370967741936,124.1,4.221774193548387,13.544748758693876,-0.34750413503796374,13.106107722631354,0.09113690102455863
울산,2022,10,2022-10,9.028494623655911,208.90000000000003,0.0,67.07661290322581,16.025537634408604,30.4,4.943548387096774,8.68099048862009,0.34750413503582145,9.119631524677134,-0.09113690102122263
서울,2023,10,2023-10,13.31244623655914,208.7,416.58,66.52016129032258,15.767741935483873,31.0,3.793010752688172,13.400116502081147,-0.08767026552200718,13.121826621980738,0.19061961457840226
울산,2023,10,2023-10,10.060138767800058,229.8,459.27,61.85618279569893,16.388575268817206,4.300000000000001,3.641129032258065,9.97246850228058,0.08767026551947765,10.250758382373778,-0.1906196145737198
서울,2024,10,2024-10,11.675483870967742,166.40000000000003,367.11,69.61424731182795,16.670026881720432,74.0,4.685483870967742,12.416036943548708,-0.7405530725809655,12.323007428132485,-0.6475235571647424
울산,2024,10,2024-10,7.57632596351335,121.7,316.51,75.88172043010752,17.814650537634407,174.3,6.44489247311828,6.835772890934535,0.7405530725788143,6.928802406346157,0.6475235571671929
서울,2021,11,2021-11,10.270833333333334,163.6,271.64,67.91666666666667,8.200972222222223,62.400000000000006,4.101388888888889,10.345116956121172,-0.07428362278783851,10.125394458647465,0.14543887468586902
울산,2021,11,2021-11,8.088114552605703,220.4,0.0,59.51805555555556,11.08125,49.7,2.9347222222222222,8.013830929819985,0.07428362278571754,8.233553427288472,-0.14543887468276928
서울,2022,11,2022-11,10.87456597222222,187.5,298.77,64.25,10.11138888888889,84.5,3.838888888888889,11.112752797028037,-0.2381868248058172,10.681003703132385,0.19356226908983487
울산,2022,11,2022-11,8.006811111111112,210.8,0.0,58.32222222222222,12.775972222222224,44.900000000000006,3.573611111111111,7.768624286307617,0.2381868248034955,8.200373380198021,-0.1935622690869092
서울,2023,11,2023-11,10.302222222222222,171.9,284.14,64.46666666666667,6.868333333333333,81.89999999999999,3.808333333333333,10.378561202472104,-0.07633898024988284,10.543204126144744,-0.24098190392252228
울산,2023,11,2023-11,8.929063438438439,209.2,347.51,52.74027777777778,10.385277777777777,33.1,2.6597222222222223,8.852724458190755,0.07633898024768371,8.688081534512209,0.24098190392622953
서울,2024,11,2024-11,10.247055555555557,183.5,295.63,62.234722222222224,9.743472222222222,60.0,4.034722222222222,10.986481958005692,-0.7394264024501354,10.786584269773236,-0.5395287142176795
울산,2024,11,2024-11,7.794538077403246,152.6,289.57,65.425,11.754583333333334,67.5,4.288888888888889,7.055111674955164,0.7394264024480819,7.255009363182407,0.5395287142208387
