지역,연도,월,이용률_anom,월합계일조(hr)_anom,월합계일사(MJ/m²)_anom,평균 습도(%)_anom,평균 기온(°C)_anom,월합계강수량(mm)_anom,평균 운량(1/10)_anom
울산,2021,9,-1.1044804452496138,-8.649999999999977,-212.67000000000002,2.6569444444444485,-0.7283333333333317,-105.94999999999997,0.5577475467470254
서울,2022,9,0.8334897411616176,26.42500000000001,37.379999999999995,-2.9097222222222143,-1.1591319444444466,47.525000000000006,-0.3305555555555557
울산,2022,9,0.09277088218401452,-10.849999999999994,-212.67000000000002,-1.7222222222222285,-1.1694444444444478,53.64999999999998,0.333991558491733
서울,2023,9,-1.123058869949494,-20.375,-33.05000000000001,2.495833333333337,0.13184027777777274,-19.275000000000006,0.6055555555555552
울산,2023,9,-0.3543586973955666,-2.6500000000000057,184.82,-0.22638888888889142,0.08555555555555117,46.450000000000045,-0.10906399706382341
서울,2024,9,-0.5100033143939395,-10.575000000000045,-19.630000000000052,0.6194444444444542,1.9693402777777784,-9.875,-0.21666666666666679
울산,2024,9,1.3660682604611676,22.150000000000006,240.51999999999998,-0.7083333333333286,1.8122222222222213,5.850000000000023,-0.7826751081749341
서울,2021,10,-0.39219727517106584,-21.474999999999994,-35.754999999999995,1.0762768817204318,-0.06155913978494709,-14.525000000000006,0.425739247311828
울산,2021,10,-0.24087229663556542,21.07499999999999,-193.945,5.0181451612903345,0.24059139784946026,-15.500000000000007,-0.612231182795699
서울,2022,10,0.5995854716520022,26.125,30.835000000000036,0.10719086021505575,-1.094489247311829,52.57499999999999,-0.15356182795698903
울산,2022,10,0.22046560421132533,15.075000000000017,-193.945,-2.867607526881713,-0.7975806451612897,-34.1,0.137768817204301
서울,2023,10,0.7147870845552298,18.82499999999999,27.194999999999993,-2.138776881720432,0.1268817204301076,-40.525000000000006,-0.582325268817204
울산,2023,10,1.2521097483554726,35.974999999999994,265.325,-8.088037634408593,-0.4345430107526873,-60.2,-1.164650537634408
